id,signal_key,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,size,pnl_r,pnl_pct,exit_reason,confirmations,ai_score
1,75-long,2026-05-01T01:15:00,2026-05-01T01:24:00,long,76617.07,76579.95139921078,76579.95139921078,0.269407,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'liquidity_sweep', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'equal_high_low', 'breaker_block', 'mitigation_block']",71.76
2,101-long,2026-05-01T01:41:00,2026-05-01T01:43:00,long,76602.81,76610.6667974928,76610.6667974928,0.552883,0.6606334724397124,0.6606334724397124,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'mitigation_block']",69.12
3,187-long,2026-05-01T03:07:00,2026-05-01T03:15:00,long,76637.74,76738.54,76717.93750631176,0.384316,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",72.06
4,255-long,2026-05-01T04:15:00,2026-05-01T04:20:00,long,77143.61,77173.72338298404,77173.72338298404,0.239349,0.8324565212682191,0.8324565212682191,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'macd', 'vwap', 'mtf_confirmation', 'inducement', 'breaker_block', 'mitigation_block']",70.59
5,306-long,2026-05-01T05:06:00,2026-05-01T05:17:00,long,77149.99,77110.93126767442,77110.93126767442,0.256025,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.71
6,342-long,2026-05-01T05:42:00,2026-05-01T05:51:00,long,77115.07,77144.68007332245,77144.68007332245,0.410993,1.365085862480417,1.365085862480417,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'fake_breakout']",68.24
7,357-long,2026-05-01T05:57:00,2026-05-01T06:05:00,long,77164.46,77141.00343574629,77141.00343574629,0.42632,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.71
8,417-long,2026-05-01T06:57:00,2026-05-01T06:59:00,long,77100.49,77046.20268295864,77046.20268295864,0.184205,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'liquidity_sweep', 'smart_money_entry', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'equal_high_low', 'breaker_block', 'mitigation_block']",69.71
9,440-long,2026-05-01T07:20:00,2026-05-01T07:22:00,long,77094.0,77046.19513652592,77046.19513652592,0.209184,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",69.71
10,1440-long,2026-05-02T00:00:00,2026-05-02T00:05:00,long,78240.21,78261.235443549,78261.235443549,0.396124,1.2498605395547369,1.2498605395547369,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'fake_breakout']",72.65
11,1466-long,2026-05-02T00:26:00,2026-05-02T00:27:00,long,78348.88,78317.43414526334,78317.43414526334,0.318007,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",70.29
12,1482-long,2026-05-02T00:42:00,2026-05-02T00:47:00,long,78310.78,78329.87016374001,78329.87016374001,0.34711,0.7975830676332276,0.7975830676332276,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.12
13,1528-long,2026-05-02T01:28:00,2026-05-02T01:33:00,long,78349.71,78422.71,78401.73403924846,0.463697,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",70.0
14,1599-long,2026-05-02T02:39:00,2026-05-02T02:44:00,long,78365.4,78374.53726119103,78374.53726119103,0.566215,0.7104190703978237,0.7104190703978237,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",75.0
15,1644-long,2026-05-02T03:24:00,2026-05-02T03:26:00,long,78347.81,78370.95401171873,78370.95401171873,0.419639,0.982728335035566,0.982728335035566,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",68.82
16,1822-short,2026-05-02T06:22:00,2026-05-02T06:36:00,short,78152.14,78176.24197235529,78176.24197235529,0.414904,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'breaker_block', 'mitigation_block']",30.59
17,1847-long,2026-05-02T06:47:00,2026-05-02T06:51:00,long,78259.51,78314.89,78300.01954997377,0.68899,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'breaker_block', 'mitigation_block']",69.71
18,1897-short,2026-05-02T07:37:00,2026-05-02T07:45:00,short,78250.02,78231.23224760516,78231.23224760516,0.831054,1.4684093602268524,1.4684093602268524,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",30.88
19,1933-long,2026-05-02T08:13:00,2026-05-02T08:17:00,long,78266.01,78252.15877625112,78252.15877625112,0.721958,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",69.12
20,1949-long,2026-05-02T08:29:00,2026-05-02T08:36:00,long,78283.4,78324.88,78316.50013295974,0.898358,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",71.47
21,1995-long,2026-05-02T09:15:00,2026-05-02T09:22:00,long,78326.58,78333.7878444406,78333.7878444406,0.862064,0.772817490450753,0.772817490450753,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'rvol', 'mtf_confirmation', 'session_quality', 'inducement', 'breaker_block', 'mitigation_block']",74.12
22,2017-long,2026-05-02T09:37:00,2026-05-02T09:39:00,long,78378.38,78355.03160609456,78355.03160609456,0.428295,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",69.41
23,2100-short,2026-05-02T11:00:00,2026-05-02T11:17:00,short,78190.03,78177.62154047136,78177.62154047136,0.717621,0.934274507733606,0.934274507733606,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'rvol', 'breaker_block', 'mitigation_block']",28.24
24,2134-short,2026-05-02T11:34:00,2026-05-02T11:41:00,short,78177.52,78146.03,78153.42247938429,1.072246,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'breaker_block', 'mitigation_block']",26.76
25,2184-long,2026-05-02T12:24:00,2026-05-02T12:25:00,long,78167.8,78215.91,78203.1372736398,0.969587,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'vwap', 'rvol', 'session_quality', 'breaker_block', 'mitigation_block']",72.35
26,2225-long,2026-05-02T13:05:00,2026-05-02T13:06:00,long,78333.7,78314.86457072009,78314.86457072009,0.530914,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",69.12
27,2260-long,2026-05-02T13:40:00,2026-05-02T13:46:00,long,78333.32,78353.74408896537,78353.74408896537,0.998618,1.6118757027597042,1.6118757027597042,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'rvol', 'mtf_confirmation', 'session_quality', 'inducement', 'breaker_block', 'mitigation_block']",70.59
28,2305-long,2026-05-02T14:25:00,2026-05-02T14:27:00,long,78449.99,78449.99,78449.99,0.392942,0.4,0.4,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",69.12
29,2376-long,2026-05-02T15:36:00,2026-05-02T15:38:00,long,78409.33,78399.41165485604,78399.41165485604,1.008233,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",73.82
30,2391-long,2026-05-02T15:51:00,2026-05-02T15:54:00,long,78421.02,78457.72,78447.6569039164,0.889308,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",68.53
